AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,2833.211,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,1851.039,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,56.545,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,194.712,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,93.918,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,111.397,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,68.869,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,175.154,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,12.186,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,2.885,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,150.173,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,202.494,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2022,91.087,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2021,4905.691,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,2665.596,6,Millions
CZE,Czechia,Annual,Expenditure,"US dollars, PPP converted",,,2020,4.763,6,Millions
